clase,llave,descripcion,base_gravable_pct,tarifa_pct,base_minima,cuentas_contables,conceptos
ICA,3055,RETENCION DE ICA SERVICIOS 8.0 CARTAGENA,100.0,0.8,0.0,23680318        RETE ICA SERVICIOS 8.0 CARTAG,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,2001,RETEIVA 15% COMPRAS DEL 19%,100.0,15.0,1345000.0,23677101        RETEIVA AL REG SIMPLIFICADO C | 24080402        IVA TRANSITORIO 16% | 24080701        IVA RETENIDO AL REG SIMPLIFIC | 24080704        IVA RETENIDO  SERV. REG. SIMP,Compra de servicios | Devolución de venta | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra | Ventas
IVA,2006,RETEIVA 15% COMPRAS DEL 19% SIN BASE,100.0,15.0,0.0,23677005        RETEIVA REG. SIMPLE DE TRIBUT | 23677101        RETEIVA AL REG SIMPLIFICADO C | 24080701        IVA RETENIDO AL REG SIMPLIFIC,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,2002,RETEIVA 15% COMPRAS DEL 5%,100.0,15.0,895000.0,23677101        RETEIVA AL REG SIMPLIFICADO C | 24080701        IVA RETENIDO AL REG SIMPLIFIC,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,2004,RETEIVA 15% HONORARIOS DEL 16%,100.0,15.0,0.0,23677102        RETEIVA AL REG SIMPLIFICADO S | 24080702        IVA RETENIDO AL REG SIMPLIFIC,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,2007,RETEIVA 15% SERV. DEL 19% SIN BASE RST,100.0,15.0,0.0,23677006        RETEIVA REG. SIMPLE DE TRIBUT | 24080704        IVA RETENIDO  SERV. REG. SIMP,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,2003,RETEIVA 15% SERVICIOS DEL 16%,100.0,15.0,133000.0,23677102        RETEIVA AL REG SIMPLIFICADO S | 24080702        IVA RETENIDO AL REG SIMPLIFIC,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,2005,RETEIVA 15% SERVICIOS DEL 16% SIN BASE,100.0,15.0,0.0,23677102        RETEIVA AL REG SIMPLIFICADO S | 24080702        IVA RETENIDO AL REG SIMPLIFIC,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
IVA,4000,RETEIVA 15% VENTAS DEL 19%,100.0,15.0,0.0,13551701        RETENCION IVA,Devolución de venta | Devolución de venta POS | Ventas | Ventas POS
IVA,2008,RETEIVA COMPRA EN EL EXTERIOR,100.0,100.0,0.0,23677007        RETEIVA COMPRAS EXTERIOR | 24080706        IVA RETENIDO  COMPRAS AL EXTE,Compra de servicios
IVA,2009,RETEIVA COMPRA EN EL EXTERIOR,100.0,19.0,0.0,23677007        RETEIVA COMPRAS EXTERIOR | 24080706        IVA RETENIDO  COMPRAS AL EXTE,Compra de servicios
RENTA,1029,"ARENDAM. BIENES INMUEBLES DECLAR 3,5% PJ",100.0,3.5,495000.0,23653003        ARRENDAM. INMUEBLES R 3.5% P.,Compra de servicios | Nota débito de servicios - compra
RENTA,1011,"ARREND. BIENES INMUEBLES  3,5% PER JURID",100.0,3.5,498000.0,23653003        ARRENDAM. INMUEBLES R 3.5% P.,Compra de servicios | Nota débito de servicios - compra
RENTA,1037,"ARREND. BIENES INMUEBLES  3,5% PER NATUR",100.0,3.5,498000.0,23653005        ARRENDAM. INMUEBLES R 3.5% P.,Compra de servicios | Nota débito de servicios - compra
RENTA,1010,"ARRENDAM. BIENES INMUEBLES DECLAR 2,5%",100.0,2.5,498000.0,23653002        ARRENDAM. INMUEBLES OBLIG A D,Compra de servicios | Nota débito de servicios - compra
RENTA,1009,ARRENDAMIENTO DE BIENES MUEBLES 4% P. JU,100.0,4.0,0.0,23653001        ARRENDAMIENTOS MUEBLES 4% PER,Compra de servicios | Nota débito de servicios - compra
RENTA,1036,ARRENDAMIENTO DE BIENES MUEBLES 4% P. NA,100.0,4.0,0.0,23653004        ARRENDAMIENTOS MUEBLES 4% PER,Compra de servicios | Nota débito de servicios - compra
